Device Model,Output Level,Transmit,Device Name,Device Role,Full Name,Device Version,Hub Name,Device Slot
MCM7500,-12.0,True,DEV-1/Role-7,ROLE-7,KAC_JAV-1.S2-MOD-ROLE-7,1.0.0.98574,KAC_JAV-1,DEV-1-1
MCM7500,-12.0,True,DEV-2/Role-2,ROLE-2,KAC_JAV-1.S2-MOD-ROLE-2,1.0.0.98574,KAC_JAV-1,DEV-1-2
MCM7500,-12.0,True,DEV-3/Role-9,ROLE-9,KAC_JAV-1.S2-MOD-ROLE-9,1.0.0.98574,KAC_JAV-1,DEV-1-3
MCM7500,-16.0,True,DEV-4/Role-1,ROLE-1,KAC_JAV-1.S2-MOD-ROLE-1,1.0.0.98574,KAC_JAV-1,DEV-1-4
MCM7500,-14.0,True,DEV-5/Role-3,ROLE-3,KAC_JAV-1.S2-MOD-ROLE-3,1.0.0.98574,KAC_JAV-1,DEV-1-5
MCM7500,-13.0,True,DEV-6/Role-5,ROLE-5,KAC_JAV-1.S2-MOD-ROLE-5,1.0.0.98574,KAC_JAV-1,DEV-1-6
MCM7500,-13.0,True,DEV-7/Role-12,ROLE-12,KAC_JAV-1.S2-MOD-ROLE-12,1.0.0.98574,KAC_JAV-1,DEV-1-7
MCM7500,-21.0,True,DEV-8/Role-10,ROLE-10,KAC_JAV-1.S2-MOD-ROLE-10,1.0.0.98574,KAC_JAV-1,DEV-1-8
MCM7500,-16.5,True,DEV-9/Role-8,ROLE-8,KAC_JAV-1.S2-MOD-ROLE-8,1.0.0.98574,KAC_JAV-1,DEV-1-9
MCM7500,-13.0,False,DEV-10/Standby,STANDBY,KAC_JAV-1.S2-MOD-STANDBY,1.0.0.98574,KAC_JAV-1,DEV-1-10
MCM7500,-16.0,True,DEV-11/Role-4,ROLE-4,KAC_JAV-1.S2-MOD-ROLE-4,1.0.0.98574,KAC_JAV-1,DEV-1-11
MCM7500,-16.5,True,DEV-12/Role-11,ROLE-11,KAC_JAV-1.S2-MOD-ROLE-11,1.0.0.98574,KAC_JAV-1,DEV-1-12
MCM7500,-12.0,True,DEV-13/Role-6,ROLE-6,KAC_JAV-1.S2-MOD-ROLE-6,1.0.0.98574,KAC_JAV-1,DEV-1-13
,,,,,NA,,KAC_JAV-1,DEV-1-14
,,,,,NA,,KAC_JAV-1,DEV-1-15
,,,,,NA,,KAC_JAV-1,DEV-1-16
,,,,,NA,,KAC_JAV-1,DEV-1-30
,,,,,NA,,KAC_JAV-1,DEV-1-31
,,,,,NA,,KAC_JAV-1,DEV-1-32
MCM7500,-25.0,True,DEV-1/Role-5,ROLE-5,KAC_BHI-1.S2-MOD-ROLE-5,1.0.0.98574,KAC_BHI-1,DEV-1-1
MCM7500,-26.0,True,DEV-2/Role-3,ROLE-3,KAC_BHI-1.S2-MOD-ROLE-3,1.0.0.98574,KAC_BHI-1,DEV-1-2
MCM7500,-26.0,True,DEV-3/Role-17,ROLE-17,KAC_BHI-1.S2-MOD-ROLE-17,1.0.0.98574,KAC_BHI-1,DEV-1-3
MCM7500,-24.5,True,DEV-4/Role-6,ROLE-6,KAC_BHI-1.S2-MOD-ROLE-6,1.0.0.98574,KAC_BHI-1,DEV-1-4
MCM7500,-24.5,True,DEV-5/Role-4,ROLE-4,KAC_BHI-1.S2-MOD-ROLE-4,1.0.0.98574,KAC_BHI-1,DEV-1-5
MCM7500,-25.0,True,DEV-6/Role-1,ROLE-1,KAC_BHI-1.S2-MOD-ROLE-1,1.0.0.98574,KAC_BHI-1,DEV-1-6
MCM7500,-26.0,True,DEV-7/Role-2,ROLE-2,KAC_BHI-1.S2-MOD-ROLE-2,1.0.0.98574,KAC_BHI-1,DEV-1-7
MCM7500,-26.0,False,DEV-8/Standby,STANDBY,KAC_BHI-1.S2-MOD-STANDBY,1.0.0.98574,KAC_BHI-1,DEV-1-8
MCM7500,-28.0,True,DEV-9/Role-18,ROLE-18,KAC_BHI-1.S2-MOD-ROLE-18,1.0.0.98574,KAC_BHI-1,DEV-1-9
,,,,,NA,,KAC_BHI-1,DEV-1-13
MCM7500,-19.0,True,DEV-14/Role-11,ROLE-11,KAC_BHI-1.S2-MOD-ROLE-11,1.0.0.98574,KAC_BHI-1,DEV-1-14
MCM7500,-28.5,True,DEV-15/Role-10,ROLE-10,KAC_BHI-1.S2-MOD-ROLE-10,1.0.0.98574,KAC_BHI-1,DEV-1-15
MCM7500,-15.0,False,DEV-16/Standby,STANDBY,KAC_BHI-1.S2-MOD-STANDBY,1.0.0.98574,KAC_BHI-1,DEV-1-16
MCM7500,-21.5,True,DEV-17/Role-9,ROLE-9,KAC_BHI-1.S2-MOD-ROLE-9,1.0.0.98574,KAC_BHI-1,DEV-1-17
MCM7500,-19.0,False,DEV-18/Standby,STANDBY,KAC_BHI-1.S2-MOD-STANDBY,1.0.0.98574,KAC_BHI-1,DEV-1-18
MCM7500,-21.0,True,DEV-1/Role-14,ROLE-14,KAC_BHI-1.S2-MOD-ROLE-14,1.0.0.98574,KAC_BHI-1,DEV-2-1
MCM7500,-18.5,True,DEV-2/Role-15,ROLE-15,KAC_BHI-1.S2-MOD-ROLE-15,1.0.0.98574,KAC_BHI-1,DEV-2-2
MCM7500,-23.0,True,DEV-3/Role-16,ROLE-16,KAC_BHI-1.S2-MOD-ROLE-16,1.0.0.98574,KAC_BHI-1,DEV-2-3
MCM7500,-21.0,True,DEV-4/Role-12,ROLE-12,KAC_BHI-1.S2-MOD-ROLE-12,1.0.0.98574,KAC_BHI-1,DEV-2-4
MCM7500,-18.5,True,DEV-5/Role-13,ROLE-13,KAC_BHI-1.S2-MOD-ROLE-13,1.0.0.98574,KAC_BHI-1,DEV-2-5
,,,,,NA,,KAC_BHI-1,DEV-2-6
,,,,,NA,,KAC_BHI-1,DEV-2-7
,,,,,NA,,KAC_BHI-1,DEV-2-8
,,,,,NA,,KAC_BHI-1,DEV-2-9
,,,,,NA,,KAC_BHI-1,DEV-2-10
,,,,,NA,,KAC_BHI-1,DEV-2-11
,,,,,NA,,KAC_BHI-1,DEV-2-12
,,,,,NA,,KAC_BHI-1,DEV-2-13
,,,,,NA,,KAC_BHI-1,DEV-2-14
,,,,,NA,,KAC_BHI-1,DEV-2-15
,,,,,NA,,KAC_BHI-1,DEV-2-16
,,,,,NA,,KAC_BHI-1,DEV-2-18
,,,,,NA,,KAC_BHI-1,DEV-2-25
,,,,,NA,,KAC_BHI-1,DEV-2-26
,,,,,NA,,KAC_BHI-1,DEV-2-31
,,,,,NA,,KAC_BHI-1,DEV-2-32
MCM7500,-7.0,True,DEV-1/Role-1,ROLE-1,KAC_JAV-2.S2-MOD-ROLE-1,1.0.0.98574,KAC_JAV-2,DEV-1-1
MCM7500,-16.0,True,DEV-2/Role-2,ROLE-2,KAC_JAV-2.S2-MOD-ROLE-2,1.0.0.98574,KAC_JAV-2,DEV-1-2
MCM7500,-23.0,True,DEV-3/Role-4,ROLE-4,KAC_JAV-2.S2-MOD-ROLE-4,1.0.0.98574,KAC_JAV-2,DEV-1-3
MCM7500,-15.0,False,DEV-4/Standby,STANDBY,KAC_JAV-2.S2-MOD-STANDBY,1.0.0.98574,KAC_JAV-2,DEV-1-4
MCM7500,-23.0,True,DEV-5/Role-5,ROLE-5,KAC_JAV-2.S2-MOD-ROLE-5,1.0.0.98574,KAC_JAV-2,DEV-1-5
MCM7500,-1.5,True,DEV-6/Role-3,ROLE-3,KAC_JAV-2.S2-MOD-ROLE-3,1.0.0.98574,KAC_JAV-2,DEV-1-6
MCM7500,-9.0,True,DEV-7/Role-6,ROLE-6,KAC_JAV-2.S2-MOD-ROLE-6,1.0.0.98574,KAC_JAV-2,DEV-1-7
,,,,,NA,,KAC_JAV-2,DEV-1-8
,,,,,NA,,KAC_JAV-2,DEV-1-9
,,,,,NA,,KAC_JAV-2,DEV-1-11
,,,,,NA,,KAC_JAV-2,DEV-1-12
,,,,,NA,,KAC_JAV-2,DEV-1-13
MCM7500,-9.0,True,DEV-14/Role-8,ROLE-8,KAC_JAV-2.S2-MOD-ROLE-8,1.0.0.98574,KAC_JAV-2,DEV-1-14
MCM7500,0.5,True,DEV-15/Role-9,ROLE-9,KAC_JAV-2.S2-MOD-ROLE-9,1.0.0.98574,KAC_JAV-2,DEV-1-15
MCM7500,-9.0,False,DEV-16/Standby,STANDBY,KAC_JAV-2.S2-MOD-STANDBY,1.0.0.98574,KAC_JAV-2,DEV-1-16
,,,,,NA,,KAC_BHI-2,DEV-1-10
,,,,,NA,,KAC_BHI-2,DEV-1-11
MCM7500,-19.0,True,DEV-12/Role-1,ROLE-1,KAC_BHI-2.S2-MOD-ROLE-1,1.0.0.98574,KAC_BHI-2,DEV-1-12
MCM7500,-14.5,True,DEV-13/Role-7,ROLE-7,KAC_BHI-2.S2-MOD-ROLE-7,1.0.0.98574,KAC_BHI-2,DEV-1-13
MCM7500,-18.0,True,DEV-14/Role-11,ROLE-11,KAC_BHI-2.S2-MOD-ROLE-11,1.0.0.98574,KAC_BHI-2,DEV-1-14
MCM7500,-14.5,False,DEV-15/Standby,STANDBY,KAC_BHI-2.S2-MOD-STANDBY,1.0.0.98574,KAC_BHI-2,DEV-1-15
MCM7500,-19.0,True,DEV-16/Role-10,ROLE-10,KAC_BHI-2.S2-MOD-ROLE-10,1.0.0.98574,KAC_BHI-2,DEV-1-16
MCM7500,-19.0,True,DEV-17/Role-12,ROLE-12,KAC_BHI-2.S2-MOD-ROLE-12,1.0.0.98574,KAC_BHI-2,DEV-1-17
MCM7500,-18.5,True,DEV-18/Role-9,ROLE-9,KAC_BHI-2.S2-MOD-ROLE-9,1.0.0.98574,KAC_BHI-2,DEV-1-18
,,,,,NA,,KAC_BHI-2,DEV-1-22
,,,,,NA,,KAC_SUB-1,DEV-1-1
,,,,,NA,,KAC_SUB-1,DEV-1-2
,,,,,NA,,KAC_SUB-1,DEV-1-3
,,,,,NA,,KAC_SUB-1,DEV-1-4
,,,,,NA,,KAC_SUB-1,DEV-1-5
,,,,,NA,,KAC_SUB-1,DEV-1-6
,,,,,NA,,KAC_SUB-1,DEV-1-7
,,,,,NA,,KAC_SUB-1,DEV-1-8
,,,,,NA,,KAC_SUB-1,DEV-1-9
,,,,,NA,,KAC_SUB-1,DEV-1-10
,,,,,NA,,KAC_SUB-1,DEV-1-11
MCM7500,-6.0,False,DEV-12/Standby,STANDBY,KAC_SUB-1.S2-MOD-STANDBY,1.0.0.98574,KAC_SUB-1,DEV-1-12
MCM7500,-9.7,True,DEV-13/Role-1,ROLE-1,KAC_SUB-1.S2-MOD-ROLE-1,1.0.0.98574,KAC_SUB-1,DEV-1-13
MCM7500,-3.0,True,DEV-14/Role-2,ROLE-2,KAC_SUB-1.S2-MOD-ROLE-2,1.0.0.98574,KAC_SUB-1,DEV-1-14
MCM7500,-6.0,True,DEV-15/Role-6,ROLE-6,KAC_SUB-1.S2-MOD-ROLE-6,1.0.0.98574,KAC_SUB-1,DEV-1-15
MCM7500,-5.5,True,DEV-16/Role-4,ROLE-4,KAC_SUB-1.S2-MOD-ROLE-4,1.0.0.98574,KAC_SUB-1,DEV-1-16
MCM7500,-2.0,True,DEV-17/Role-3,ROLE-3,KAC_SUB-1.S2-MOD-ROLE-3,1.0.0.98574,KAC_SUB-1,DEV-1-17
MCM7500,-4.2,True,DEV-18/Role-5,ROLE-5,KAC_SUB-1.S2-MOD-ROLE-5,1.0.0.98574,KAC_SUB-1,DEV-1-18
,,,,,NA,,KAC_SUB-2,DEV-1-1
MCM7500,-14.4,True,DEV-2/Role-2,ROLE-2,KAC_SUB-2.S2-MOD-ROLE-2,1.0.0.98574,KAC_SUB-2,DEV-1-2
MCM7500,-10.0,True,DEV-3/Role-4,ROLE-4,KAC_SUB-2.S2-MOD-ROLE-4,1.0.0.98574,KAC_SUB-2,DEV-1-3
MCM7500,-16.0,True,DEV-4/Role-3,ROLE-3,KAC_SUB-2.S2-MOD-ROLE-3,1.0.0.98574,KAC_SUB-2,DEV-1-4
MCM7500,-15.0,True,DEV-5/Role-7,ROLE-7,KAC_SUB-2.S2-MOD-ROLE-7,1.0.0.98574,KAC_SUB-2,DEV-1-5
MCM7500,-9.0,True,DEV-6/Role-1,ROLE-1,KAC_SUB-2.S2-MOD-ROLE-1,1.0.0.98574,KAC_SUB-2,DEV-1-6
MCM7500,-12.0,True,DEV-7/Role-8,ROLE-8,KAC_SUB-2.S2-MOD-ROLE-8,1.0.0.98574,KAC_SUB-2,DEV-1-7
MCM7500,-13.5,True,DEV-8/Role-5,ROLE-5,KAC_SUB-2.S2-MOD-ROLE-5,1.0.0.98574,KAC_SUB-2,DEV-1-8
MCM7500,-12.5,True,DEV-9/Role-6,ROLE-6,KAC_SUB-2.S2-MOD-ROLE-6,1.0.0.98574,KAC_SUB-2,DEV-1-9
MCM7500,-13.5,False,DEV-10/Standby,STANDBY,KAC_SUB-2.S2-MOD-STANDBY,1.0.0.98574,KAC_SUB-2,DEV-1-10
,,,,,NA,,KAC_SUB-2,DEV-1-11
,,,,,NA,,KAC_SUB-2,DEV-1-12
,,,,,NA,,KAC_SUB-2,DEV-1-13
,,,,,NA,,KAC_SUB-2,DEV-1-14
,,,,,NA,,KAC_SUB-2,DEV-1-15
,,,,,NA,,KAC_SUB-2,DEV-1-16
,,,,,NA,,KAC_SUB-2,DEV-1-27
,,,,,NA,,KAC_SUB-2,DEV-1-28
,,,,,NA,,KAC_SUB-2,DEV-1-29
,,,,,NA,,KAC_SUB-2,DEV-1-30
,,,,,NA,,KAC_SUB-2,DEV-1-31
,,,,,NA,,KAC_SUB-2,DEV-1-32
