time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,hub module,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower,BE_RX,BE_TX,CD1_RX,CD1_TX,CD2_RX,CD2_TX,CD3_RX,CD3_TX,RT1_RX,RT1_TX,RT2_RX,RT2_TX,RT3_RX,RT3_TX
2020-07-30T00:03:26,13-SMOPOL,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:d4:90,4,Beam-JAV-13,JAV-13-SN-1,PrimacomIN_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,33.40000152587891,18.19066147859922,21,21536704,12.80000019073486,-29.0,78,63,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:03:54,EMSTRET_HP1_T0032_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:b7:f4,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.0,44.58413926499033,21,22256840,13.19999980926514,-25.70000076293945,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:04:52,EXCITE_HP1_MNS5_ManusSchool2_Aua_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f1:bd,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.59999847412109,17.52677702044791,8,17347244,6.5,-32.09999847412109,11,18,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:05:18,EXCITE_HP1_MNS9_Wuvulu_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ed:64,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,51.0,23.62052274927396,8,14876338,7.5,-31.10000038146973,334,362,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:05:44,EXCITE_HP1_VAN11_SumuminiSBSL_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f9:dc,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,36.40000152587891,27.27272727272727,19,1792190,11.89999961853027,-30.70000076293945,2403,2313,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:06:10,EXCITE_HP1_VAN34_Bewani_ImbioMill_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f5:d0,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,38.59999847412109,19.64980544747082,19,74489624,12.10000038146973,-28.10000038146973,127,147,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:06:37,EXCITE_HP1_VAN35_Amanab56Timber_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:b8:48,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,48.59999847412109,20.32913843175218,20,14575619,12.19999980926514,-27.5,134,128,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:07:03,EXCITE_HP2_ATP_St_IgnatiusSchool_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:de:84,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.40000152587891,20.2323330106486,18,8621965,11.19999980926514,-27.70000076293945,54,16,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:07:29,EXCITE_HP2_VAN12_SumuminiTSL_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:e3:85,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.79999923706055,20.52529182879377,20,781511,12.60000038146973,-25.10000038146973,94,74,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:07:56,EXCITE_HP2_VAN13_BewaniTSL_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:ac,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,47.0,44.81086323957323,20,13206341,12.30000019073486,-33.09999847412109,34,61,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:09:43,EXCITE_HP2_VAN14_PaulPioBOPPL_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:04:fd,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.0,23.4269119070668,19,5350097,11.39999961853027,-29.5,72,22,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:10:10,EXCITE_HP2_VAN17_MedalionHotel_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f7:27,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,45.59999847412109,46.85942173479562,21,69214744,13.10000038146973,-27.20000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:10:37,EXCITE_HP2_VAN18_BOPPNew_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f9:ff,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,47.59999847412109,21.12950340798442,20,1821294,12.39999961853027,-29.0,79,25,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:11:03,EXCITE_HP2_VAN20_NationalForestSer_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:05:74,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,52.59999847412109,31.67641325536063,14,14350166,9.5,-27.60000038146973,62,15,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:12:01,EXCITE_HP2_VAN22_AmanabForestPIMAS_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f5:ec,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,37.20000076293945,22.71844660194175,20,1186491,12.89999961853027,-26.20000076293945,208,157,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:12:27,EXCITE_HP2_VAN23_WestSepikProvinAdm_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f5:c2,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,25.60000038146973,23.59223300970874,21,22869418,13.19999980926514,-27.39999961853027,20,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:13:57,EXCITE_HP2_VAN2_VanimoSupermarket_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:e3:d9,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,42.20000076293945,19.78661493695441,20,6050936,12.60000038146973,-29.0,231,326,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:14:23,EXCITE_HP2_VAN3_BOPPL_HQVanimo_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:dd,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.40000152587891,28.66795366795366,19,793121,12.10000038146973,-29.10000038146973,365,162,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:14:49,EXCITE_HP2_VAN5_AMFOREST_MakaCamp_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f1:e0,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,34.79999923706055,22.41035856573705,20,312924800,12.80000019073486,-29.70000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:15:16,EXCITE_HP2_VAN60_ImbioOPLCamp_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:6e:99,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,46.79999923706055,24.58857696030978,20,1077680,12.89999961853027,-27.10000038146973,105,267,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:15:42,EXCITE_HP2_VAN61_AitapeJayaLtd_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f0:90,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.0,20.56256062075655,13,1418579,9.199999809265137,-28.89999961853027,194,215,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:16:08,EXCITE_HP2_VAN6_AMANAB_FOREST_PROD_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ee:8a,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,38.79999923706055,24.32170542635659,20,14337345,12.19999980926514,-26.39999961853027,169,129,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:16:35,EXCITE_HP2_VAN9_ImbioBOPPL_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f9:5e,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.59999847412109,21.17073170731707,19,788957,12.0,-31.60000038146973,311,186,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:17:01,EXCITE_HP2_VAN_AmanabForestStonepas_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:f2,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,34.59999847412109,22.84607938044531,20,448860,12.69999980926514,-25.20000076293945,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:17:28,EXCITE_HP2_VAN_PJ_PlantationsLtd_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fb:e2,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.0,22.74927395934172,21,3596050,13.39999961853027,-26.20000076293945,86,143,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:17:56,KARUNIASINERGI_HP1_T0002_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3e:ee,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,47.20000076293945,35.23166023166024,21,7467000,13.80000019073486,-24.20000076293945,1948,1602,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:18:23,KSINERGI_HP1_T0004_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:84:07,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,40.59999847412109,20.76023391812866,21,161103,12.89999961853027,-31.39999961853027,71,64,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:18:51,KSINERGI_HP1_T0005_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3d:04,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.79999923706055,16.33466135458167,21,358447,13.39999961853027,-30.79999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:19:49,KSINERGI_HP1_T0007_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:41:a3,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,52.0,23.35907335907336,21,576751,13.19999980926514,-30.60000038146973,270,146,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:20:48,KSINERGI_HP3_T0003_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:86:99,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,36.0,28.58527131782946,19,451223,11.80000019073486,-38.09999847412109,200,91,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:21:14,PETRO1_HP1_T0034_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:42:98,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.79999923706055,19.45788964181994,19,381813,12.10000038146973,-32.79999923706055,52,102,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:21:41,PETRO1_HP1_T0035_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:fc:8f,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,37.40000152587891,27.35208535402522,20,3819423,12.80000019073486,-29.60000038146973,1783,1620,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:22:08,PETRO1_HP1_T0063_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:47:fb,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,43.0,18.86429258902791,19,7651310,12.0,-32.5,11,10,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:22:34,PETRO1_HP1_T0065_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3f:7a,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,46.79999923706055,20.71636011616651,20,6802436,12.60000038146973,-31.89999961853027,10,16,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:23:01,PETRO1_HP1_T0066_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3b:05,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,45.0,39.57115009746588,21,6805922,14.0,-28.60000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
